Year,Name,Revenue,Rank
2021,Stanley Black & Decker,14534.6,209
2021,Texas Instruments,14461,210
2021,Halliburton,14445,211
2021,Stryker,14351,212
2021,Estee Lauder,14294,213
2021,Corteva,14217,214
2021,Freeport-McMoRan,14198,215
2021,Qurate Retail,14177,216
2021,Wayfair,14145.2,217
2021,Laboratory of America,13978.5,218
2021,Land O'Lakes,13948.9,219
2021,PPG,13834,220
2021,Gap,13800,221
2021,Kellogg,13770,222
2021,Parker Hannifin,13695.5,223
2021,Core-Mark,13617.1,224
2021,Jacobs Engineering Group,13578.2,225
2021,Edison International,13578,226
2021,Guardian Life of America,13561.5,227
2021,Biogen,13444.6,228
2021,Omnicom,13171.1,229
2021,Unum Group,13162.1,230
2021,Lithia Motors,13124.3,231
2021,American Family Insurance,13074.5,232
2021,Discover Financial Services,12953,233
2021,Adobe,12868,234
2021,Aramark,12829.6,235
2021,Otis Worldwide,12756,236
2021,Ecolab,12748.7,237
2021,AutoZone,12632,238
2021,Loews,12583,239
2021,Illinois Tool Works,12574,240
2021,Fidelity National Information Services,12552,241
2021,Ross Stores,12531.6,242
2021,Peter Kiewit Sons,12463,243
2021,Equitable Holdings,12415,244
2021,WESCO,12326,245
2021,Goodyear Tire & Rubber,12321,246
2021,Fox,12303,247
2021,Leidos Holdings,12297,248
2021,Consolidated Edison,12246,249
2021,DTE Energy,12177,250
2021,Charles Schwab,12109,251
2021,State Street,12078,252
2021,Ameriprise Financial,11958,253
2021,Viatris,11946,254
2021,Sempra Energy,11940,255
2021,Farmers Insurance Exchange,11869.7,256
2021,Bath & Body Works,11846.9,257
2021,W.W. Grainger,11797,258
2021,Community Health Systems,11789,259
2021,Ball,11781,260
2021,Berry Global Group,11709,261
2021,Kinder Morgan,11700,262
2021,VF,11688.1,263
2021,Baxter International,11673,264
2021,Textron,11651,265
2021,LKQ,11628.8,266
2021,Keurig Dr Pepper,11618,267
2021,O'Reilly Automotive,11604.5,268
2021,Crown Holdings,11575,269
2021,Universal Health Services,11558.9,270
2021,DaVita,11550.6,271
2021,Xcel Energy,11526,272
2021,Newmont,11497,273
2021,Vistra Energy,11443,274
2021,IQVIA Holdings,11359,275
2021,eBay,11351,276
2021,Corning,11303,277
2021,Quanta Services,11202.7,278
2021,HollyFrontier,11183.6,279
2021,Bed Bath & Beyond,11158.6,280
2021,Uber Technologies,11139,281
2021,Mutual of Omaha,11098.4,282
2021,Conagra Brands,11054.4,283
2021,PulteGroup,11036.1,284
2021,EOG Resources,11032,285
2021,Group 1 Automotive,10851.8,286
2021,Ally Financial,10780,287
2021,Fidelity National Financial,10778,288
2021,Nordstrom,10715,289
2021,Discovery,10671,290
2021,Tractor Supply,10620.4,291
2021,CSX,10583,292
2021,Marriott International,10571,293
2021,FirstEnergy,10435,294
2021,BorgWarner,10165,295
2021,Edward Jones (Jones Financial Companies),10165,295
2021,Republic Services,10153.6,297
2021,Henry Schein,10119.1,298
2021,Expeditors International of Washington,10116.5,299
